,k,v
0,今日は何の日,2月27日
1,1,今日は何の日 2月27日
2,2,シュマルカルデン同盟発足（1531年）
3,3,フランス王アンリ4世が戴冠（1594年）
4,4,ドミニカ共和国がハイチから独立（1844年）
5,5,太政官布告として商船規則発布、日章旗が「御國旗」に規定（1870年 - 明治3年1月27日）
6,6,イギリス労働党の前身、労働代表委員会発足（1900年）
7,7,ドイツ国会議事堂放火事件（1933年）
8,8,炭素14発見（1940年）
9,9,アメリカ合衆国憲法修正第22条批准、米大統領の3選禁止が法的に明文化（1951年）
10,10,ニクソン米大統領が中華人民共和国を訪問（1972年）
11,11,ポリサリオ戦線がサハラ・アラブ民主共和国樹立を宣言（1976年）
12,12,オウム真理教事件：東京地裁が地下鉄サリン事件などで起訴された元教祖麻原彰晃に死刑判決（2004年）
13,13,チリ地震（2010年）
14,from:,https://ja.wikipedia.org/wiki/Wikipedia:%E4%BB%8A%E6%97%A5%E3%81%AF%E4%BD%95%E3%81%AE%E6%97%A5_2%E6%9C%88
